"보고 시작","보고 종료","캠페인 이름","캠페인 게재",결과,"결과 표시 도구","결과당 비용","광고 세트 예산","광고 세트 예산 유형","지출 금액 (KRW)",노출,도달,종료,"기여 설정","구매 ROAS(광고 지출 대비 수익률)",구매,"구매 전환값"
2026-03-01,2026-03-23,한돈_판매,inactive,,,,60000,"일일 예산",0,0,0,"진행 중",~,,,
2026-03-01,2026-03-23,한돈셋트_260225,inactive,7,actions:offsite_conversion.fb_pixel_initiate_checkout,22107.28571429,50000,"일일 예산",154751,5398,3561,"진행 중","클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,
2026-03-01,2026-03-23,한돈세트_260304,active,21,actions:offsite_conversion.fb_pixel_purchase,44381.38095238,50000,"일일 예산",932009,22567,12256,"진행 중","클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",0.854498,21,796400
2026-03-01,2026-03-23,한우사골곰탕_260307,inactive,,,,25000,"일일 예산",59597,2231,1657,"진행 중","클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,
2026-03-01,2026-03-23,삼겹살_260313,inactive,6,actions:offsite_conversion.fb_pixel_purchase,36843.83333333,20000,"일일 예산",221063,7984,5911,"진행 중","클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",0.817866,6,180800
2026-03-01,2026-03-23,곰탕_260320,active,1,actions:offsite_conversion.fb_pixel_purchase,135406,50000,"일일 예산",135406,4399,3171,"진행 중","클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",0.102654,1,13900
